ticker,company_name,question_id,question,evidence_strength,no_answer_flag,summary_answer
HUBS,"HubSpot, Inc.",revenue_drivers,What are the company's main revenue drivers?,0.07428615207565638,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
HUBS,"HubSpot, Inc.",customer_concentration,What does the company say about customer concentration?,0.07661776982386764,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
HUBS,"HubSpot, Inc.",liquidity_risks,What are the main liquidity risks?,0.049898855352685456,False,Retrieved filing passages discuss md&a themes relevant to the question.
HUBS,"HubSpot, Inc.",debt_obligations,What does management say about debt obligations?,0.0,True,insufficient filing evidence found
HUBS,"HubSpot, Inc.",margin_pressure,What risks could pressure margins?,0.049901554496365276,False,Retrieved filing passages discuss md&a themes relevant to the question.
HUBS,"HubSpot, Inc.",capex_requirements,What capex or investment requirements are disclosed?,0.05877006141781634,False,Retrieved filing passages discuss md&a themes relevant to the question.
HUBS,"HubSpot, Inc.",competition,What does management say about competition?,0.04629044545972882,False,Retrieved filing passages discuss md&a themes relevant to the question.
HUBS,"HubSpot, Inc.",regulatory_litigation,Are there regulatory or litigation risks?,0.04609000152595878,False,Retrieved filing passages discuss md&a themes relevant to the question.
HUBS,"HubSpot, Inc.",key_risk_factors,What are the key risk factors?,0.0873768614462748,False,Retrieved filing passages discuss md&a themes relevant to the question.
HUBS,"HubSpot, Inc.",cash_flows_capital_allocation,What does management say about cash flows and capital allocation?,0.07642167140549519,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
FSLR,"First Solar, Inc.",revenue_drivers,What are the company's main revenue drivers?,0.0,True,insufficient filing evidence found
FSLR,"First Solar, Inc.",customer_concentration,What does the company say about customer concentration?,0.09672455748166633,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
FSLR,"First Solar, Inc.",liquidity_risks,What are the main liquidity risks?,0.0,True,insufficient filing evidence found
FSLR,"First Solar, Inc.",debt_obligations,What does management say about debt obligations?,0.04567467956523437,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
FSLR,"First Solar, Inc.",margin_pressure,What risks could pressure margins?,0.0677457242338562,False,Retrieved filing passages discuss md&a themes relevant to the question.
FSLR,"First Solar, Inc.",capex_requirements,What capex or investment requirements are disclosed?,0.07118381133890989,False,Retrieved filing passages discuss md&a themes relevant to the question.
FSLR,"First Solar, Inc.",competition,What does management say about competition?,0.06298480643888665,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
FSLR,"First Solar, Inc.",regulatory_litigation,Are there regulatory or litigation risks?,0.05206092717463568,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
FSLR,"First Solar, Inc.",key_risk_factors,What are the key risk factors?,0.07923476913391891,False,Retrieved filing passages discuss risk factors themes relevant to the question.
FSLR,"First Solar, Inc.",cash_flows_capital_allocation,What does management say about cash flows and capital allocation?,0.09112881438656804,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
DPZ,"Domino's Pizza, Inc.",revenue_drivers,What are the company's main revenue drivers?,0.0,True,insufficient filing evidence found
DPZ,"Domino's Pizza, Inc.",customer_concentration,What does the company say about customer concentration?,0.0,True,insufficient filing evidence found
DPZ,"Domino's Pizza, Inc.",liquidity_risks,What are the main liquidity risks?,0.0,True,insufficient filing evidence found
DPZ,"Domino's Pizza, Inc.",debt_obligations,What does management say about debt obligations?,0.06126042887792213,False,Retrieved filing passages discuss md&a themes relevant to the question.
DPZ,"Domino's Pizza, Inc.",margin_pressure,What risks could pressure margins?,0.04874766651134904,False,Retrieved filing passages discuss md&a themes relevant to the question.
DPZ,"Domino's Pizza, Inc.",capex_requirements,What capex or investment requirements are disclosed?,0.0,True,insufficient filing evidence found
DPZ,"Domino's Pizza, Inc.",competition,What does management say about competition?,0.07286028884306879,False,Retrieved filing passages discuss md&a themes relevant to the question.
DPZ,"Domino's Pizza, Inc.",regulatory_litigation,Are there regulatory or litigation risks?,0.0,True,insufficient filing evidence found
DPZ,"Domino's Pizza, Inc.",key_risk_factors,What are the key risk factors?,0.09985521997969232,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
DPZ,"Domino's Pizza, Inc.",cash_flows_capital_allocation,What does management say about cash flows and capital allocation?,0.09847068283432361,False,Retrieved filing passages discuss md&a themes relevant to the question.
TEAM,Atlassian Corporation,revenue_drivers,What are the company's main revenue drivers?,0.0,True,insufficient filing evidence found
TEAM,Atlassian Corporation,customer_concentration,What does the company say about customer concentration?,0.12323394305505637,False,Retrieved filing passages discuss md&a themes relevant to the question.
TEAM,Atlassian Corporation,liquidity_risks,What are the main liquidity risks?,0.09422037997055649,False,Retrieved filing passages discuss md&a themes relevant to the question.
TEAM,Atlassian Corporation,debt_obligations,What does management say about debt obligations?,0.13036516892763383,False,Retrieved filing passages discuss md&a themes relevant to the question.
TEAM,Atlassian Corporation,margin_pressure,What risks could pressure margins?,0.08909175101643226,False,Retrieved filing passages discuss md&a themes relevant to the question.
TEAM,Atlassian Corporation,capex_requirements,What capex or investment requirements are disclosed?,0.05876833981425969,False,Retrieved filing passages discuss md&a themes relevant to the question.
TEAM,Atlassian Corporation,competition,What does management say about competition?,0.14417612262608648,False,Retrieved filing passages discuss md&a themes relevant to the question.
TEAM,Atlassian Corporation,regulatory_litigation,Are there regulatory or litigation risks?,0.08421509397465399,False,Retrieved filing passages discuss md&a themes relevant to the question.
TEAM,Atlassian Corporation,key_risk_factors,What are the key risk factors?,0.07951576046328254,False,Retrieved filing passages discuss risk factors themes relevant to the question.
TEAM,Atlassian Corporation,cash_flows_capital_allocation,What does management say about cash flows and capital allocation?,0.11465538103564088,False,Retrieved filing passages discuss md&a themes relevant to the question.
CNC,Centene Corporation,revenue_drivers,What are the company's main revenue drivers?,0.06365478723816924,False,Retrieved filing passages discuss md&a themes relevant to the question.
CNC,Centene Corporation,customer_concentration,What does the company say about customer concentration?,0.046503174577440784,False,Retrieved filing passages discuss liquidity and capital resources themes relevant to the question.
