question_id,ticker,company_name,question,expected_section,expected_keywords,expected_no_answer
MSFT_revenue,MSFT,Microsoft Corporation,"Which business lines, customers or demand drivers appear to explain revenue growth?",Business|Segment Information|MD&A,revenue; customers; services; products; demand,False
MSFT_customer,MSFT,Microsoft Corporation,"Is there evidence of customer concentration, retention risk or dependence on major relationships?",Risk Factors|Business,customer; concentration; retention; dependence,False
MSFT_liquidity_debt,MSFT,Microsoft Corporation,"How do liquidity resources interact with debt maturities, borrowings or contractual obligations?",Liquidity and Capital Resources|Debt / Contractual Obligations|MD&A,liquidity; debt; borrowings; maturity; cash,False
MSFT_margin_confuser,MSFT,Microsoft Corporation,"What could pressure margins, and is that discussed as operating performance or as a risk factor?",MD&A|Risk Factors,margin; costs; inflation; expenses; profitability,False
MSFT_capex_allocation,MSFT,Microsoft Corporation,"What capital expenditure, investment or capital allocation requirements are disclosed?",Liquidity and Capital Resources|MD&A,capital; expenditures; investment; cash flows; allocation,False
MSFT_competition_regulation,MSFT,Microsoft Corporation,"Which competitive, legal or regulatory issues could matter for diligence?",Risk Factors|Legal / Regulatory Matters|Business,competition; competitive; regulation; regulatory; litigation,False
MSFT_no_answer_sponsor_offer,MSFT,Microsoft Corporation,Does the filing disclose a signed sponsor acquisition proposal named Northbridge Meridian?,No Answer,Northbridge Meridian; sponsor acquisition proposal,True
MSFT_no_answer_sponsor_churn,MSFT,Microsoft Corporation,Does management disclose customer churn by the private-equity sponsor cohort?,No Answer,private-equity sponsor cohort; customer churn,True
HCA_revenue,HCA,"HCA Healthcare, Inc.","Which business lines, customers or demand drivers appear to explain revenue growth?",Business|Segment Information|MD&A,revenue; customers; services; products; demand,False
HCA_customer,HCA,"HCA Healthcare, Inc.","Is there evidence of customer concentration, retention risk or dependence on major relationships?",Risk Factors|Business,customer; concentration; retention; dependence,False
HCA_liquidity_debt,HCA,"HCA Healthcare, Inc.","How do liquidity resources interact with debt maturities, borrowings or contractual obligations?",Liquidity and Capital Resources|Debt / Contractual Obligations|MD&A,liquidity; debt; borrowings; maturity; cash,False
HCA_margin_confuser,HCA,"HCA Healthcare, Inc.","What could pressure margins, and is that discussed as operating performance or as a risk factor?",MD&A|Risk Factors,margin; costs; inflation; expenses; profitability,False
HCA_capex_allocation,HCA,"HCA Healthcare, Inc.","What capital expenditure, investment or capital allocation requirements are disclosed?",Liquidity and Capital Resources|MD&A,capital; expenditures; investment; cash flows; allocation,False
HCA_competition_regulation,HCA,"HCA Healthcare, Inc.","Which competitive, legal or regulatory issues could matter for diligence?",Risk Factors|Legal / Regulatory Matters|Business,competition; competitive; regulation; regulatory; litigation,False
HCA_no_answer_sponsor_offer,HCA,"HCA Healthcare, Inc.",Does the filing disclose a signed sponsor acquisition proposal named Northbridge Meridian?,No Answer,Northbridge Meridian; sponsor acquisition proposal,True
HCA_no_answer_sponsor_churn,HCA,"HCA Healthcare, Inc.",Does management disclose customer churn by the private-equity sponsor cohort?,No Answer,private-equity sponsor cohort; customer churn,True
ADP_revenue,ADP,"Automatic Data Processing, Inc.","Which business lines, customers or demand drivers appear to explain revenue growth?",Business|Segment Information|MD&A,revenue; customers; services; products; demand,False
ADP_customer,ADP,"Automatic Data Processing, Inc.","Is there evidence of customer concentration, retention risk or dependence on major relationships?",Risk Factors|Business,customer; concentration; retention; dependence,False
